id,brand,name,category,image,price,rating,skin_type,acne,pigmentation,oiliness,dryness,dark_circles,ingredients,description
1,The Ordinary,Vitamin C,Cleanser,vitamin_c.jpg,1955,4.2,Oily,1,0,0,0,1,Hyaluronic Acid,Recommended by GlowSense AI
2,CeraVe,Foaming Cleanser,Serum,foaming_cleanser.jpg,2461,4.5,Sensitive,1,0,1,0,1,Snail Mucin,Recommended by GlowSense AI
3,La Roche-Posay,Toleriane Cleanser,Serum,toleriane_cleanser.jpg,982,4.1,Oily,0,0,1,0,0,Hyaluronic Acid,Recommended by GlowSense AI
4,Dot & Key,Watermelon Sunscreen,Treatment,watermelon_sunscreen.jpg,953,4.8,Dry,1,1,0,0,0,Vitamin C,Recommended by GlowSense AI
5,CeraVe,PM Moisturizer,Cream,pm_moisturizer.jpg,1601,4.6,Dry,0,1,0,0,0,Ceramides,Recommended by GlowSense AI
6,The Ordinary,Buffet Serum,Cleanser,buffet_serum.jpg,2426,4.2,Sensitive,1,1,0,0,0,Salicylic Acid,Recommended by GlowSense AI
7,The Ordinary,Vitamin C,Treatment,vitamin_c.jpg,2230,4.3,Dry,1,0,1,1,0,Vitamin C,Recommended by GlowSense AI
8,CeraVe,AM Moisturizer,Sunscreen,am_moisturizer.jpg,707,4.5,Combination,1,0,1,1,1,Ceramides,Recommended by GlowSense AI
9,The Ordinary,Niacinamide 10%,Treatment,niacinamide_10.jpg,1426,4.7,Sensitive,0,1,1,0,1,Ceramides,Recommended by GlowSense AI
10,La Roche-Posay,Effaclar Duo,Cleanser,effaclar_duo.jpg,2047,4.1,Oily,0,1,1,0,0,Hyaluronic Acid,Recommended by GlowSense AI
11,COSRX,AHA Whitehead Power,Serum,aha_whitehead_power.jpg,561,4.3,Sensitive,0,1,1,1,1,Retinol,Recommended by GlowSense AI
12,La Roche-Posay,Effaclar Duo,Sunscreen,effaclar_duo.jpg,776,4.0,Sensitive,1,1,1,0,1,Vitamin C,Recommended by GlowSense AI
13,CeraVe,PM Moisturizer,Sunscreen,pm_moisturizer.jpg,2065,4.1,Dry,0,0,1,1,0,Vitamin C,Recommended by GlowSense AI
14,The Ordinary,Azelaic Acid,Treatment,azelaic_acid.jpg,732,4.3,Dry,1,1,1,1,0,Retinol,Recommended by GlowSense AI
15,Dot & Key,Watermelon Sunscreen,Sunscreen,watermelon_sunscreen.jpg,1175,4.1,Combination,1,0,0,1,1,Ceramides,Recommended by GlowSense AI
16,The Ordinary,Vitamin C,Cream,vitamin_c.jpg,1685,4.8,Sensitive,0,0,0,0,1,Ceramides,Recommended by GlowSense AI
17,The Ordinary,Retinol,Treatment,retinol.jpg,2270,4.1,All,0,0,0,0,0,Niacinamide,Recommended by GlowSense AI
18,CeraVe,PM Moisturizer,Serum,pm_moisturizer.jpg,1557,4.9,Sensitive,0,0,0,0,0,Vitamin C,Recommended by GlowSense AI
19,La Roche-Posay,Effaclar Cleanser,Cream,effaclar_cleanser.jpg,2959,4.2,Combination,1,1,1,1,0,Vitamin C,Recommended by GlowSense AI
20,COSRX,AHA Whitehead Power,Moisturizer,aha_whitehead_power.jpg,2875,4.7,Sensitive,1,0,1,1,0,Salicylic Acid,Recommended by GlowSense AI
21,Neutrogena,Oil Free Acne Wash,Sunscreen,oil_free_acne_wash.jpg,313,4.2,Oily,1,1,0,1,0,Hyaluronic Acid,Recommended by GlowSense AI
22,Minimalist,Salicylic Acid,Cleanser,salicylic_acid.jpg,537,4.1,Dry,1,1,0,1,0,Centella,Recommended by GlowSense AI
23,Neutrogena,Oil Free Acne Wash,Treatment,oil_free_acne_wash.jpg,2919,4.7,Dry,1,0,0,0,1,Centella,Recommended by GlowSense AI
24,CeraVe,Moisturizing Cream,Cream,moisturizing_cream.jpg,1731,4.5,Sensitive,1,0,0,1,0,Retinol,Recommended by GlowSense AI
25,Cetaphil,Moisturizing Lotion,Moisturizer,moisturizing_lotion.jpg,2409,4.7,Oily,1,0,1,0,0,Vitamin C,Recommended by GlowSense AI
26,COSRX,AHA Whitehead Power,Serum,aha_whitehead_power.jpg,465,4.9,Combination,1,1,0,1,1,Vitamin C,Recommended by GlowSense AI
27,La Roche-Posay,Anthelios SPF50,Cream,anthelios_spf50.jpg,1351,4.6,Sensitive,1,0,0,1,0,Ceramides,Recommended by GlowSense AI
28,Cetaphil,Bright Healthy Radiance,Treatment,bright_healthy_radiance.jpg,1225,4.7,Oily,1,1,1,0,0,Hyaluronic Acid,Recommended by GlowSense AI
29,COSRX,Snail Mucin,Cleanser,snail_mucin.jpg,1521,4.1,Dry,0,0,0,1,1,Vitamin C,Recommended by GlowSense AI
30,Minimalist,Salicylic Acid,Moisturizer,salicylic_acid.jpg,494,5.0,Sensitive,1,0,0,1,1,Vitamin C,Recommended by GlowSense AI
31,Cetaphil,Bright Healthy Radiance,Cleanser,bright_healthy_radiance.jpg,2333,4.5,All,0,0,1,0,0,Ceramides,Recommended by GlowSense AI
32,The Ordinary,Buffet Serum,Cleanser,buffet_serum.jpg,2618,4.5,Oily,0,0,1,1,0,Hyaluronic Acid,Recommended by GlowSense AI
33,Neutrogena,Hydro Boost,Moisturizer,hydro_boost.jpg,356,4.6,Combination,1,1,0,1,1,Ceramides,Recommended by GlowSense AI
34,CeraVe,AM Moisturizer,Serum,am_moisturizer.jpg,1756,4.8,Sensitive,0,0,0,1,1,Centella,Recommended by GlowSense AI
35,CeraVe,Foaming Cleanser,Treatment,foaming_cleanser.jpg,1745,4.1,Dry,0,1,1,0,0,Ceramides,Recommended by GlowSense AI
36,The Ordinary,Vitamin C,Moisturizer,vitamin_c.jpg,1358,4.5,Oily,0,1,1,0,1,Niacinamide,Recommended by GlowSense AI
37,Minimalist,Alpha Arbutin,Cleanser,alpha_arbutin.jpg,2702,4.7,All,1,1,0,1,1,Snail Mucin,Recommended by GlowSense AI
38,The Ordinary,Retinol,Moisturizer,retinol.jpg,2829,4.5,Oily,1,0,0,1,0,Retinol,Recommended by GlowSense AI
39,Neutrogena,Ultra Sheer SPF50,Moisturizer,ultra_sheer_spf50.jpg,1585,4.1,Combination,0,0,0,0,0,Salicylic Acid,Recommended by GlowSense AI
40,COSRX,Snail Mucin,Moisturizer,snail_mucin.jpg,1888,4.2,Combination,1,0,0,1,1,Centella,Recommended by GlowSense AI
41,Dot & Key,Barrier Repair Cream,Cleanser,barrier_repair_cream.jpg,1944,4.4,Sensitive,1,1,1,0,1,Vitamin C,Recommended by GlowSense AI
42,Dot & Key,Cica Gel,Serum,cica_gel.jpg,684,4.6,All,1,1,1,0,0,Centella,Recommended by GlowSense AI
43,Cetaphil,Daily Facial Cleanser,Sunscreen,daily_facial_cleanser.jpg,1438,4.0,Sensitive,1,1,0,1,1,Hyaluronic Acid,Recommended by GlowSense AI
44,COSRX,AHA Whitehead Power,Treatment,aha_whitehead_power.jpg,2088,4.0,All,0,1,0,0,1,Ceramides,Recommended by GlowSense AI
45,COSRX,AHA Whitehead Power,Moisturizer,aha_whitehead_power.jpg,347,4.5,All,0,1,1,1,0,Retinol,Recommended by GlowSense AI
46,La Roche-Posay,Anthelios SPF50,Moisturizer,anthelios_spf50.jpg,1993,4.6,Oily,0,0,0,1,1,Ceramides,Recommended by GlowSense AI
47,Dot & Key,Cica Gel,Serum,cica_gel.jpg,839,4.6,All,1,1,0,0,1,Salicylic Acid,Recommended by GlowSense AI
